FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:180 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:198 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:210 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:228 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:240 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:258 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:270 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:288 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:300 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:318 SL:6
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:330 SL:6
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:007 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:019 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:037 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:049 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:067 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:079 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:097 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:109 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:127 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:139 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:157 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:169 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:187 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:199 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:217 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:229 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:247 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:259 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:277 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:289 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:307 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:319 SL:7
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:337 SL:7
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:008 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:026 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:038 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:056 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:068 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:086 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:098 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:116 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:128 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:146 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:158 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:176 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:188 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:206 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:218 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:236 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:248 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:266 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:278 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:296 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:308 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:326 SL:8
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:338 SL:8
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:015 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:027 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:045 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:057 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:075 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:087 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:105 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:117 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:135 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:147 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:165 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:177 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:195 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:207 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:225 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:237 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:255 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:267 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:285 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:297 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:315 SL:9
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:327 SL:9
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:004 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:016 SL:10
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:034 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:046 SL:10
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:064 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:076 SL:10
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:094 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:106 SL:10
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:124 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:136 SL:10
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:154 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:166 SL:10
FF0D  10 FB     BPL $FF0A                       A:00 X:00 Y:00 P:26 SP:FD CYC:184 SL:10
FF0A  AD 02 20  LDA $2002 = 00                  A:00 X:00 Y:00 P:26 SP:FD CYC:196 SL:10
